,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,31.9,366.75,235.19,229.95,0.0,6.7,54.47,16.33,22.35,7.79,1.31,5.06,7.21,14.11,3.87,1.24,14.38,70.96,2.73
2016-01-01,27.59,498.45,269.4,264.62,0.0,6.91,52.82,17.38,21.0,7.75,1.19,3.76,5.12,10.6,3.15,0.87,25.04,104.87,4.23
2015-01-01,25.61,467.91,283.26,280.72,0.0,6.95,52.51,0.0,0.0,8.55,1.14,4.45,5.89,13.11,3.91,1.06,32.49,129.76,3.24
2014-01-01,23.27,721.18,293.58,290.85,0.0,6.45,56.58,0.0,0.0,10.17,1.18,7.14,9.41,19.22,6.08,1.63,32.96,180.47,1.57
2013-01-01,25.08,603.65,307.4,305.45,0.0,6.43,56.76,0.0,0.0,11.09,1.35,9.64,14.24,23.28,7.17,2.13,37.7,262.5,1.42
2012-01-01,39.28,571.81,171.52,170.07,17806.31,6.32,57.75,0.0,0.0,14.08,1.5,14.34,24.69,28.06,9.57,2.83,39.72,380.77,18.25
